2026-07-14 07:20:50,607 | WARNING | src.etl.loader | profitandloss: dropped 12 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 07:20:51,089 | INFO | src.etl.loader | Read balancesheet: 1312 rows, 13 cols
2026-07-14 07:20:51,101 | WARNING | src.etl.loader | balancesheet: 5 rows rejected during year normalization
2026-07-14 07:20:51,106 | WARNING | src.etl.loader | balancesheet: dropped 80 rows with company_id not in companies (1227 remain)
2026-07-14 07:20:51,110 | WARNING | src.etl.loader | balancesheet: dropped 169 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 07:20:51,359 | INFO | src.etl.loader | Read cashflow: 1187 rows, 7 cols
2026-07-14 07:20:51,374 | WARNING | src.etl.loader | cashflow: dropped 96 rows with company_id not in companies (1091 remain)
2026-07-14 07:20:51,377 | WARNING | src.etl.loader | cashflow: dropped 35 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 07:20:51,400 | INFO | src.etl.loader | Read analysis: 20 rows, 6 cols
2026-07-14 07:20:51,404 | WARNING | src.etl.loader | analysis: dropped 4 rows with company_id not in companies (16 remain)
2026-07-14 07:20:51,661 | INFO | src.etl.loader | Read documents: 1585 rows, 4 cols
2026-07-14 07:20:51,675 | WARNING | src.etl.loader | documents: dropped 128 rows with company_id not in companies (1457 remain)
2026-07-14 07:20:51,696 | INFO | src.etl.loader | Read prosandcons: 16 rows, 4 cols
2026-07-14 07:20:51,702 | WARNING | src.etl.loader | prosandcons: dropped 2 rows with company_id not in companies (14 remain)
2026-07-14 07:20:51,740 | INFO | src.etl.loader | Read sectors: 92 rows, 6 cols
2026-07-14 07:20:52,937 | INFO | src.etl.loader | Read stock_prices: 5520 rows, 9 cols
2026-07-14 07:20:53,330 | INFO | src.etl.loader | Read financial_ratios: 1184 rows, 16 cols
2026-07-14 07:20:53,345 | WARNING | src.etl.loader | financial_ratios: dropped 24 rows with company_id not in companies (1160 remain)
2026-07-14 07:20:53,349 | WARNING | src.etl.loader | financial_ratios: dropped 119 duplicate rows on ['company_id', 'year'] (kept first occurrence)
2026-07-14 07:20:53,507 | INFO | src.etl.loader | Read market_cap: 552 rows, 9 cols
2026-07-14 07:20:53,537 | INFO | src.etl.loader | Read peer_groups: 56 rows, 4 cols
2026-07-14 07:20:53,549 | INFO | src.etl.loader | Merged market_cap into financial_ratios: 1041 rows
2026-07-14 07:20:54,369 | INFO | __main__ | Removed existing db\nifty100.db for a clean load
2026-07-14 07:20:54,515 | INFO | __main__ | Schema applied from db\schema.sql
2026-07-14 07:20:54,532 | INFO | __main__ | Wrote companies: 92 rows
2026-07-14 07:20:54,562 | INFO | __main__ | Wrote profitandloss: 1070 rows
2026-07-14 07:20:54,585 | INFO | __main__ | Wrote balancesheet: 1058 rows
2026-07-14 07:20:54,600 | INFO | __main__ | Wrote cashflow: 1056 rows
2026-07-14 07:20:54,609 | INFO | __main__ | Wrote analysis: 16 rows
2026-07-14 07:20:54,624 | INFO | __main__ | Wrote documents: 1457 rows
2026-07-14 07:20:54,632 | INFO | __main__ | Wrote prosandcons: 14 rows
2026-07-14 07:20:54,641 | INFO | __main__ | Wrote sectors: 92 rows
2026-07-14 07:20:54,698 | INFO | __main__ | Wrote stock_prices: 5520 rows
2026-07-14 07:20:54,723 | INFO | __main__ | Wrote financial_ratios: 1041 rows
2026-07-14 07:20:54,732 | INFO | __main__ | Wrote peer_groups: 56 rows
2026-07-14 21:31:54,889 | INFO | src.etl.loader | Read companies: 92 rows, 12 cols
2026-07-14 21:31:55,104 | INFO | src.etl.loader | Read profitandloss: 1276 rows, 15 cols
2026-07-14 21:31:55,109 | WARNING | src.etl.loader | profitandloss: 103 rows rejected during year normalization
